step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.360845114274e+00
2,0.1,9.420612578044e+00
3,0.15,2.112851481191e+01
4,0.2,3.741261909558e+01
5,0.25,5.815486379792e+01
6,0.3,8.320774669843e+01
7,0.35,1.124871976188e+02
8,0.4,1.460033311697e+02
9,0.45,1.835462357431e+02
10,0.5,2.249494506262e+02
11,0.55,2.689500990311e+02
12,0.6,3.126667829830e+02
13,0.65,3.562453891354e+02
14,0.7,3.988135863321e+02
15,0.75,4.402655198214e+02
16,0.8,4.781632590539e+02
17,0.85,5.077247981560e+02
18,0.9,5.314864715553e+02
