step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-1.288353246309e-08,-4.799602493222e-09,-1.752332045003e+02
2,0.1,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-7.528823786629e-09,5.494252164340e-09,-3.463122353946e+02
3,0.15,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,2.471535864856e-09,1.977210395410e-08,-5.127382578678e+02
4,0.2,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-1.456612608308e-13,-2.486899575160e-13,-6.740768315719e+02
5,0.25,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,6.465938895417e-13,1.172395514004e-13,-8.299236696856e+02
6,0.3,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,1.321609488514e-12,6.785683126509e-13,-9.799600655734e+02
7,0.35,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-2.426503442621e-12,-1.421085471520e-12,-1.124062169645e+03
8,0.4,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-1.350386469312e-11,-2.201616666753e-11,-1.262171990842e+03
9,0.45,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,8.789768912720e-11,-3.264588599450e-10,-1.393724580693e+03
10,0.5,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-5.684341886081e-13,-2.430056156300e-12,-1.518306061369e+03
11,0.55,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,5.400124791777e-13,1.961097950698e-12,-1.634213616005e+03
12,0.6,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,6.122746754045e-10,5.554241511163e-10,-1.738846875276e+03
13,0.65,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,3.133493464702e-12,4.845901457884e-12,-1.833501331886e+03
14,0.7,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,7.105427357601e-14,-1.634248292248e-13,-1.918053715257e+03
15,0.75,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,2.273736754432e-13,3.694822225953e-13,-1.992844356275e+03
16,0.8,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-4.266856371942e-04,-4.489455440080e-04,-2.057282562292e+03
17,0.85,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,5.460415763991e-08,-5.449996507423e-07,-2.111011283658e+03
18,0.9,bottom,1.387778780781e-17,-1.387778780781e-17,5.000000000000e-01,-2.906634932742e-08,-1.650110448281e-08,-2.157422662894e+03
