step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.382135859481e+00
2,0.1,9.367866342074e+00
3,0.15,2.081532120041e+01
4,0.2,3.675526498041e+01
5,0.25,5.668901844778e+01
6,0.3,8.030284405433e+01
7,0.35,1.073316772955e+02
8,0.4,1.368835744845e+02
9,0.45,1.682490113735e+02
10,0.5,2.015433392573e+02
11,0.55,2.359280155557e+02
12,0.6,2.703572823295e+02
13,0.65,3.046029843686e+02
14,0.7,3.381625647818e+02
15,0.75,3.699598994004e+02
16,0.8,3.994758398301e+02
17,0.85,4.266995419833e+02
18,0.9,4.520561562113e+02
19,0.95,4.759240045098e+02
20,1.,4.970285829613e+02
