Force,Displacement
-0.0,-0.0
16099.999999999998,0.02545685659384754
32200.0,0.05085807697998666
48300.0,0.07599488208620468
64399.99999999999,0.10123260604804865
80500.0,0.1258566757320586
96600.0,0.14991891845326827
112700.0,0.17341940745419587
128800.0,0.19571050650239727
144899.99999999997,0.21657613994751104
161000.0,0.23665797491764848
177100.00000000003,0.25560990182549626
193200.0,0.2731544187049246
209300.00000000003,0.2893300822368576
225400.00000000003,0.3043258751940734
241500.0,0.3177928177502097
257600.0,0.32970140607889675
273700.0,0.3401269617792314
289800.0,0.34937492224009553
305899.99999999994,0.35774580680968987
322000.0,0.36479173702654366
