step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,1.292299600664e-12,4.711075973773e-11,-2.141271090640e+02
2,0.1,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-2.626876494105e-11,1.552553641204e-10,-4.401027898017e+02
3,0.15,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-5.472955422192e-11,9.812062273795e-11,-6.833357969371e+02
4,0.2,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-5.462652552524e-11,1.008331196317e-10,-9.497987043077e+02
5,0.25,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-1.052455900208e-10,1.177724584522e-10,-1.281700428599e+03
6,0.3,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-7.926814760140e-11,1.517790337857e-10,-1.697171653956e+03
7,0.35,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-8.066081136349e-11,1.550120032334e-10,-2.173927508532e+03
8,0.4,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-7.008793545538e-11,1.680504624346e-10,-2.830056816242e+03
9,0.45,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-5.984190920572e-11,1.670912297413e-10,-3.680949201626e+03
10,0.5,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-2.422950728942e-11,6.926370588189e-11,-4.439704489662e+03
11,0.55,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-5.972867711534e-08,1.130703708441e-07,-1.859115610032e+04
12,0.6,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-3.481083467705e-06,1.496579443483e-06,-2.293729175343e+04
13,0.65,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-4.140716214351e-09,-1.642828806325e-08,-5.155512923851e+03
14,0.7,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-1.797934601200e-08,-1.996307901209e-07,-2.131764309726e+04
15,0.75,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-3.812814384219e-07,4.609024131241e-07,-2.508195427296e+04
16,0.8,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-3.748351900867e-06,1.042784765559e-05,-2.853065721880e+04
17,0.85,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,2.617630343593e-07,-1.871801487141e-06,-1.795204550706e+04
18,0.9,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,1.302960572502e-05,-5.907464583288e-05,-8.099072531254e+04
19,0.95,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-3.680906957015e-08,2.045908331638e-08,-4.459314315114e+04
20,1.,top,-9.714451465470e-17,1.026956297778e-15,-5.000000000000e-01,-5.078354661237e-07,2.816041160258e-07,-6.860777679642e+04
