step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.844968622322e-12,5.251798995687e-12,-1.815629710194e+02
2,0.1,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,3.769695666733e-11,2.082067851461e-11,-3.653491543378e+02
3,0.15,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,1.336974975175e-11,-6.615152869927e-12,-5.086880468176e+02
4,0.2,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,1.881517164293e-11,-3.550937321961e-12,-8.259814746764e+02
5,0.25,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-5.021760784985e-12,-5.936584557276e-12,-6.982223091747e+02
6,0.3,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-3.345235199959e-11,-3.130651293759e-11,-9.247129287606e+02
7,0.35,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-4.561293565075e-10,-7.361560250274e-10,-9.943490720908e+02
8,0.4,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.000151443920e-01,1.000151424040e-01,-4.449471782351e+03
9,0.45,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,3.744758200683e-01,-3.744758306780e-01,-1.082039603264e+04
10,0.5,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,4.036067995680e-01,-4.036068015632e-01,-1.401230015480e+04
11,0.55,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.574588183731e+01,1.574588144476e+01,2.786532855734e+04
12,0.6,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,2.347740685720e-01,-2.347740942639e-01,-8.325945385101e+04
13,0.65,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-2.129507885790e+00,2.129507885968e+00,-4.697154240178e+04
14,0.7,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-5.611607185612e+01,5.611607182038e+01,4.919532480949e+04
15,0.75,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.423488658291e+01,1.423488656755e+01,2.103621351471e+04
16,0.8,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.412625398579e+01,1.412625401351e+01,-6.209523030284e+04
17,0.85,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-3.439995422758e+02,3.439995418402e+02,-3.359322096019e+04
18,0.9,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.030376117705e+03,1.030376105988e+03,-1.043584528498e+05
19,0.95,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-2.239990096563e+01,2.239990080421e+01,3.441661861903e+04
20,1.,top,1.387778780781e-17,3.469446951954e-17,-5.000000000000e-01,-1.420827887616e+01,1.420827872900e+01,8.514029169897e+03
