step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,2.180478020364e-12,-4.028333222550e-12,-1.633572064836e+02
2,0.1,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-3.474021070815e-11,-1.833688756392e-11,-3.160719106640e+02
3,0.15,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-1.258904092083e-11,7.866596263284e-12,-4.685058991185e+02
4,0.2,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-1.955413608812e-11,5.568878691520e-12,-6.058958758006e+02
5,0.25,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,1.204014665745e-11,1.802114013572e-11,-7.279838456098e+02
6,0.3,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,8.398615136684e-12,1.551381245690e-11,-8.411533289738e+02
7,0.35,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,1.097788526749e-11,6.224354365258e-12,-9.529587070949e+02
8,0.4,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,3.539730151829e-03,-3.539730144414e-03,-1.042625111928e+03
9,0.45,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-6.462911702890e-03,6.462911710148e-03,-1.132241141405e+03
10,0.5,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-1.448610075546e-02,1.448610076250e-02,-1.211904553124e+03
11,0.55,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-2.099723228680e-02,2.099723229381e-02,-1.293771855594e+03
12,0.6,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-2.789198333466e-02,2.789198334170e-02,-1.374998074597e+03
13,0.65,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-3.290552553416e-02,3.290552554117e-02,-1.436130120224e+03
14,0.7,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-3.801021851149e-02,3.801021851854e-02,-1.494474723924e+03
15,0.75,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-4.714872044622e-02,4.714872045328e-02,-1.547390748807e+03
16,0.8,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-5.298627544519e-02,5.298627545231e-02,-1.602792874462e+03
17,0.85,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-5.840698505800e-02,5.840698511041e-02,-1.656939810938e+03
18,0.9,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-6.869576391459e-02,6.869576405424e-02,-1.699516256302e+03
19,0.95,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-7.462398405065e-02,7.462398418942e-02,-1.748810435314e+03
20,1.,bottom,4.163336342344e-17,-1.734723475977e-17,5.000000000000e-01,-8.055415743197e-02,8.055415757027e-02,-1.796894451810e+03
