step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.054998041455e+00
2,0.1,8.198415285682e+00
3,0.15,1.835654467112e+01
4,0.2,3.238659431122e+01
5,0.25,5.007903762102e+01
6,0.3,7.119414608042e+01
7,0.35,9.550128240953e+01
8,0.4,1.227652908536e+02
9,0.45,1.526364489753e+02
10,0.5,1.844562540297e+02
11,0.55,2.171637676337e+02
12,0.6,2.495704717593e+02
13,0.65,2.808214509634e+02
14,0.7,3.105561951476e+02
15,0.75,3.387554488686e+02
16,0.8,3.655484891095e+02
17,0.85,3.910998723553e+02
18,0.9,4.155623633018e+02
19,0.95,4.390632147808e+02
20,1.,4.617039449671e+02
