step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,9.769962616701e-15,-7.993605777301e-15,-1.673301676233e+02
2,0.1,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,2.131628207280e-14,-1.820765760385e-14,-3.308333899055e+02
3,0.15,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,3.907985046681e-14,-2.575717417130e-14,-4.899974083814e+02
4,0.2,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,4.618527782441e-14,-4.884981308351e-14,-6.442665066969e+02
5,0.25,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,4.618527782441e-14,-4.618527782441e-14,-7.931436319956e+02
6,0.3,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,7.815970093361e-14,-7.105427357601e-14,-9.363095983841e+02
7,0.35,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,8.526512829121e-14,-6.572520305781e-14,-1.073641081767e+03
8,0.4,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,8.526512829121e-14,-7.638334409421e-14,-1.205078414998e+03
9,0.45,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,9.237055564881e-14,-8.348877145181e-14,-1.330378519121e+03
10,0.5,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.136868377216e-13,-1.012523398458e-13,-1.448883216273e+03
11,0.55,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.278976924368e-13,-5.329070518201e-14,-1.559621807367e+03
12,0.6,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.563194018672e-13,-1.101341240428e-13,-1.661922410572e+03
13,0.65,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.421085471520e-13,-1.101341240428e-13,-1.755939172268e+03
14,0.7,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.634248292248e-13,-1.527666881884e-13,-1.842519938574e+03
15,0.75,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-7.176481631177e-13,2.806643806252e-13,-1.922755741347e+03
16,0.8,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-2.122391151715e-10,9.999467920352e-11,-1.997672322718e+03
17,0.85,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-3.640892032308e-10,1.715108055578e-10,-2.068122512374e+03
18,0.9,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-1.308677610723e-10,6.165379318190e-11,-2.134782635131e+03
19,0.95,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,-2.495426087989e-11,1.175237684947e-11,-2.198182326829e+03
20,1.,bottom,4.163336342344e-17,-2.081668171172e-17,5.000000000000e-01,1.297735252592e-10,-6.135891794656e-11,-2.258738181409e+03
