Force,Displacement
0.0,-0.0
128.80000000000004,0.019809737010343734
257.6000000000001,0.03954949736547268
386.4000000000002,0.05912826520114294
515.2000000000002,0.07842977800975375
644.0000000000002,0.0973371551083315
772.8000000000003,0.11576914398920495
901.6000000000003,0.13369036355034522
1030.4000000000003,0.1510777736640563
1159.2000000000003,0.16784980738547756
1288.0000000000002,0.18378986941597486
1416.8000000000004,0.19855549416378349
1545.6000000000006,0.21184290680898965
1674.4000000000005,0.22355781623068152
1803.2000000000007,0.23381039820745214
1932.000000000001,0.24280452244373205
2060.800000000001,0.2507511529311231
2189.6000000000013,0.25783261011506237
2318.4000000000015,0.2641959882673206
2447.200000000001,0.2699572505038556
2576.000000000001,0.27520762397879434
