step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,2.923233211050e-09,3.204820853142e-09,-1.770003043196e+02
2,0.1,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,1.733104326718e-09,-1.190506360160e-09,-3.572277847221e+02
3,0.15,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,1.976471430964e-09,-2.753774985820e-09,-5.405335491053e+02
4,0.2,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-1.131439830715e-09,-6.933031926337e-09,-7.267266065389e+02
5,0.25,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,2.131207210709e-09,-7.911321375786e-09,-9.155379034754e+02
6,0.3,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-8.092428060991e-09,-3.661678604772e-08,-1.106668459745e+03
7,0.35,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-3.552713678801e-13,-3.126388037344e-13,-1.299825510206e+03
8,0.4,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,1.207922650792e-13,-6.217248937901e-13,-1.494707496119e+03
9,0.45,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,6.643574579357e-13,4.405364961713e-13,-1.690964405817e+03
10,0.5,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-2.771116669464e-12,-5.044853423897e-13,-1.888204647241e+03
11,0.55,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-1.843858399297e-11,1.889333134386e-11,-2.086106644760e+03
12,0.6,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-2.263007559122e-10,-1.396003312948e-10,-2.284589305837e+03
13,0.65,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-4.817479748453e-11,-1.104183411371e-11,-2.483838606760e+03
14,0.7,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,4.474784986996e-10,1.507416413915e-10,-2.684017369060e+03
15,0.75,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-1.257660642295e-12,6.659917062279e-11,-2.885017902099e+03
16,0.8,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,6.643929850725e-10,3.955946681344e-10,-3.086703890465e+03
17,0.85,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,-4.101764261577e-09,-4.046079027376e-09,-3.289253000090e+03
18,0.9,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,3.141988713651e-08,2.664206277814e-08,-3.493018851104e+03
19,0.95,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,1.322732146036e-09,8.858265232448e-10,-3.698104399460e+03
20,1.,top,-6.938893903907e-18,-6.938893903907e-18,-5.000000000000e-01,7.345562380578e-09,5.002220859751e-11,-3.904503676390e+03
