Force,Displacement
0.0,-0.0
16100.0,0.02443272741519741
32200.0,0.04879293228932904
48300.00000000001,0.07301272594907912
64400.0,0.09704018758527304
80500.0,0.12081278677070792
96600.0,0.1442287114132813
112700.0,0.16716460192891772
128799.99999999999,0.18952105113000428
144900.0,0.21124994241098385
160999.99999999997,0.2323316367701282
177099.99999999997,0.2526702511420181
193200.0,0.2720164181549039
209300.0,0.29003651621749843
225400.00000000003,0.30649597600304146
241500.00000000003,0.3213641824001686
257600.00000000006,0.3346609380137414
273700.00000000006,0.34617542973692667
289800.00000000006,0.3557735799423911
305900.00000000006,0.3637842233620446
322000.0,0.37068834347464336
