step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.628208844475e-12,3.899636169535e-11,-2.027208376112e+02
2,0.1,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,8.093969938727e-12,1.701572216461e-11,-3.925880706462e+02
3,0.15,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,-1.527311610516e-11,-7.702283255639e-12,-5.719214015718e+02
4,0.2,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,-1.432454155292e-11,1.047695263878e-11,-7.387060025112e+02
5,0.25,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,1.318412046203e-11,6.076206204852e-11,-8.932241179000e+02
6,0.3,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,4.262368236141e-11,1.087911982722e-10,-1.036806436188e+03
7,0.35,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.312905505481e-12,2.158735412650e-10,-1.170736693341e+03
8,0.4,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,1.006661420888e-11,1.945679173332e-10,-1.287485251436e+03
9,0.45,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,2.620481609483e-11,2.068460958071e-10,-1.394178507872e+03
10,0.5,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.675815207771e-11,2.220659212071e-10,-1.494989690836e+03
11,0.55,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,7.771561172376e-11,2.525624154259e-10,-1.590933946138e+03
12,0.6,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,8.009415353172e-11,2.477804628143e-10,-1.675380754850e+03
13,0.65,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,2.025757339652e-11,2.888072003771e-10,-1.752496152072e+03
14,0.7,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,2.514255470487e-11,3.023430394933e-10,-1.824061796426e+03
15,0.75,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.402789161555e-11,3.076792154388e-10,-1.887776558138e+03
16,0.8,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.532107939463e-11,3.094413614235e-10,-1.945997621535e+03
17,0.85,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.555555849744e-11,3.078781674049e-10,-2.007133697600e+03
18,0.9,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.538502824085e-11,3.086029209953e-10,-2.058057886974e+03
19,0.95,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.699796025103e-11,3.095124156971e-10,-2.106177219446e+03
20,1.,bottom,5.134781488891e-16,-5.412337245048e-16,5.000000000000e-01,3.716493779393e-11,3.100666390310e-10,-2.152141680677e+03
