step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.322466038390e+00
2,0.1,9.093938000087e+00
3,0.15,2.027082619485e+01
4,0.2,3.545691275129e+01
5,0.25,5.465752889458e+01
6,0.3,7.757940232069e+01
7,0.35,1.038484435539e+02
8,0.4,1.326536136442e+02
9,0.45,1.636332384508e+02
10,0.5,1.968870886159e+02
11,0.55,2.304583566130e+02
12,0.6,2.635135213140e+02
13,0.65,2.955203474188e+02
14,0.7,3.262309957098e+02
15,0.75,3.557498752803e+02
16,0.8,3.844590902988e+02
17,0.85,4.116894739645e+02
18,0.9,4.347852766179e+02
19,0.95,4.558338221030e+02
20,1.,4.758004427045e+02
