step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-4.684252985498e-12,-1.461053500407e-12,-1.714822271089e+02
2,0.1,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.113775738304e-12,4.171063494596e-11,-3.347931688643e+02
3,0.15,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,9.205081141772e-12,-5.557186139793e-05,-4.893437164199e+02
4,0.2,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,5.122489490361e-07,1.376848501045e-02,-6.342582565741e+02
5,0.25,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,7.454183396760e-06,2.762556932207e-02,-7.710320681803e+02
6,0.3,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,5.707276293876e-05,4.714581425152e-02,-9.012085789462e+02
7,0.35,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,1.247175481822e-05,6.076999100807e-02,-1.024338504808e+03
8,0.4,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.432066952418e-04,7.852256114279e-02,-1.131991845991e+03
9,0.45,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.154274000683e-04,9.759906653165e-02,-1.232086737774e+03
10,0.5,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.620397089113e-04,1.208573678073e-01,-1.326265696764e+03
11,0.55,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,8.887783650380e-06,1.372041292246e-01,-1.412700463498e+03
12,0.6,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,7.358658770897e-04,1.138146592099e-01,-1.490494479062e+03
13,0.65,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,3.781401910885e-04,1.259216455871e-01,-1.558182308726e+03
14,0.7,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.016178584088e-03,1.681357754078e-01,-1.619731331911e+03
15,0.75,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.392025804549e-03,1.762803103815e-01,-1.676747181659e+03
16,0.8,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.625077222585e-03,1.423699806540e-01,-1.729582297834e+03
17,0.85,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.611962681622e-03,1.864319405141e-01,-1.780783789112e+03
18,0.9,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.641536413160e-03,1.956473520618e-01,-1.824749604371e+03
19,0.95,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.770003477567e-03,1.998263392392e-01,-1.866336411115e+03
20,1.,bottom,0.000000000000e+00,3.469446951954e-18,5.000000000000e-01,-1.662464915334e-03,1.993009553296e-01,-1.905438141894e+03
