step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,5.551559212336e-12,8.522071937023e-13,-1.814189620251e+02
2,0.1,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,1.227462576026e-12,-4.498090788729e-11,-3.778942825296e+02
3,0.15,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.093347634651e-11,-3.488091426362e-06,-5.847926279846e+02
4,0.2,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,2.986206215638e-07,4.473380903026e-03,-7.607517588385e+02
5,0.25,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,2.575233217961e-05,2.088820653848e-01,-1.006033532419e+03
6,0.3,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.565631314548e-05,-7.217637797959e-02,-1.192345041963e+03
7,0.35,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-2.292005230942e-05,-3.937322901097e-02,-1.332060761399e+03
8,0.4,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-2.765111345942e+00,1.231899651604e+03,1.047511749226e+04
9,0.45,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.610047378280e+00,-5.621556035777e+01,-5.665735935958e+03
10,0.5,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.460396185466e+01,-1.243275274042e+03,-1.533183861721e+03
11,0.55,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,2.628222426396e+01,-6.652627933022e+02,6.791904640419e+03
12,0.6,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-5.781246961441e+00,-2.489970518071e+01,-7.166673594719e+03
13,0.65,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,1.009330250307e+01,-4.511243216038e+01,5.316073085169e+03
14,0.7,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.007647373203e+03,-4.369200020853e+03,3.777148795742e+04
15,0.75,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,8.688200194914e+00,-3.473101224074e+02,-7.995279718755e+03
16,0.8,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,-1.486937614193e+01,-1.382423138275e+03,1.313879842553e+04
17,0.85,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,1.075555941899e+01,-1.249662350532e+02,-1.083699560842e+04
18,0.9,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,8.866514245091e+01,-6.499293801546e+02,-1.726490567511e+04
19,0.95,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,2.759699793574e+01,-2.063141210177e+02,-2.811097100119e+04
20,1.,top,6.938893903907e-18,-1.387778780781e-17,-5.000000000000e-01,1.236875275592e+01,8.292714801451e+01,-2.711111457708e+04
