step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.322466038391e+00
2,0.1,9.093938000142e+00
3,0.15,2.025270644702e+01
4,0.2,3.539814069790e+01
5,0.25,5.455661320876e+01
6,0.3,7.743204664334e+01
7,0.35,1.035767261844e+02
8,0.4,1.323129550205e+02
9,0.45,1.630878322062e+02
10,0.5,1.961732718354e+02
11,0.55,2.295937936766e+02
12,0.6,2.624746023488e+02
13,0.65,2.943578578965e+02
14,0.7,3.248843894839e+02
15,0.75,3.542916512517e+02
16,0.8,3.828342675609e+02
17,0.85,4.099696828451e+02
18,0.9,4.329592538591e+02
19,0.95,4.539077281299e+02
20,1.,4.737811426551e+02
