Force,Displacement
-0.0,-0.0
128.79766782627544,0.022075294226453688
257.580363626245,0.04369911982519973
386.3688201760858,0.0652529115414626
515.1791546364927,0.08656551342308788
643.9707273561468,0.10745026593479702
772.7362408956284,0.12733391021896637
901.4278229092464,0.1462730427053251
1030.0892978602599,0.1643319539734087
1158.772189407506,0.1815877151677451
1287.4743978294605,0.19869741223136705
1416.1627185864568,0.21487548030186207
1544.9434546577008,0.2306295184436541
1673.225123248841,0.2416091755550685
1801.4542575918213,0.2522678030611714
1929.765986916114,0.2619159119706788
2058.151566060035,0.27076655747824513
2186.565292905241,0.27902754726046697
2314.9596560717796,0.2868815838987426
2443.3598927868507,0.2942006244101931
2571.7080963057315,0.3002915926550031
