step,time,face_id,centroid_x,centroid_y,centroid_z,force_x,force_y,force_z
0,0.,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00
1,0.05,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-3.295586026297e-12,1.152478112942e-11,-1.934805203565e+02
2,0.1,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-1.760813717055e-11,1.188116272033e-11,-3.688925556980e+02
3,0.15,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-3.591793529267e-12,1.441780028699e-11,-5.239113525982e+02
4,0.2,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-3.524824876422e-11,7.538858426415e-12,-6.280882382728e+02
5,0.25,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-5.478462128394e-11,1.420019657417e-11,-7.361713568676e+02
6,0.3,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-6.181721801113e-11,1.121946979765e-11,-8.458712567009e+02
7,0.35,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.315304000917e-11,1.784705716545e-11,-9.571558481814e+02
8,0.4,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-6.847500344520e-11,2.385291963947e-11,-1.042932361353e+03
9,0.45,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-6.680167530249e-11,4.991029811663e-11,-1.139151747981e+03
10,0.5,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.837375276016e-11,3.864641939799e-11,-1.220391893610e+03
11,0.55,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-9.798029054764e-11,4.521893970377e-11,-1.309209240392e+03
12,0.6,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.284573027595e-11,3.618083610490e-11,-1.395681590910e+03
13,0.65,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.477840651722e-11,3.077538224261e-11,-1.462890625804e+03
14,0.7,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.268230544672e-11,3.443823004545e-11,-1.526558162370e+03
15,0.75,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.384049010601e-11,3.547029336914e-11,-1.582105047181e+03
16,0.8,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-8.248335348071e-11,3.394440284410e-11,-1.642493868074e+03
17,0.85,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-9.474732109993e-11,4.337330494764e-11,-1.701605979790e+03
18,0.9,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-1.522160175682e-10,1.479882882904e-10,-1.744845372760e+03
19,0.95,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-1.646860425808e-10,1.437907570789e-10,-1.799396350454e+03
20,1.,bottom,3.191891195797e-16,-2.983724378680e-16,5.000000000000e-01,-1.636557556139e-10,1.418847261903e-10,-1.852892009161e+03
