Force,Displacement
-0.0,-0.0
16099.999999999998,0.025456856593837993
32199.999999999996,0.05085807697994048
48300.0,0.07601237010349776
64400.0,0.1012633832823713
80499.99999999999,0.12590276937177963
96600.0,0.1499937049050953
112700.00000000001,0.17351928810837514
128799.99999999999,0.19583066142798053
144900.0,0.21671370428149356
161000.0,0.23681570705991709
177099.99999999997,0.25577081854052464
193200.0,0.27330359252834846
209300.0,0.28947028090412624
225400.0,0.30447220104688827
241499.99999999997,0.3179262917314469
257599.99999999997,0.3298029663447603
273700.0,0.3402320895518149
289800.0,0.34947643918400395
305900.0,0.35784888494342254
322000.0,0.36489370337791965
