Force,Displacement
-0.0,-0.0
128.797871617779,0.024605712584280296
257.5962386041009,0.04909975306323469
386.37651895945567,0.07336732645098824
515.1631256050977,0.09774195868200766
643.9372363805037,0.12147431026994848
772.6844664113413,0.14467669358918855
901.4356207677622,0.16732900270238055
1030.1531141922114,0.188712511142928
1158.8197447896187,0.20871197177920126
1287.508317411101,0.22794335452636214
1416.149349763038,0.245991112996854
1544.707449610239,0.26261614631264474
1673.2623332411536,0.2779285454492711
1801.8231365598865,0.2920632574907298
1930.2967758056034,0.3046255866188744
2058.665663025504,0.31564353472428147
2186.9522681378057,0.3252583372149971
2315.214806781964,0.3337539172011448
2443.4887233680142,0.34143224424320734
2571.641978953635,0.3479022403093711
