step,time,strain_energy
0,0.,0.000000000000e+00
1,0.05,2.382135859501e+00
2,0.1,9.359440337663e+00
3,0.15,2.080168058828e+01
4,0.2,3.671609209224e+01
5,0.25,5.662714208826e+01
6,0.3,8.018567283457e+01
7,0.35,1.071581771808e+02
8,0.4,1.366489737907e+02
9,0.45,1.679436118498e+02
10,0.5,2.011615941105e+02
11,0.55,2.354028034943e+02
12,0.6,2.697049268260e+02
13,0.65,3.038117546629e+02
14,0.7,3.372640416665e+02
15,0.75,3.689209014047e+02
16,0.8,3.982550286685e+02
17,0.85,4.253946841440e+02
18,0.9,4.506715359257e+02
19,0.95,4.744587543628e+02
20,1.,4.954926814887e+02
